id,agent名,TEKO链接,体验链接,主导部门,涉及部门,项目经理,项目成员,综合评分,评委建议,特点,技术方案,部门/个人,类别,特色简介,业务价值,有价值评论,缺少字段,是否已评论
204,证券-问 AI,https://teko.woa.com/event/ai-agent/204,自选股&微证券的“问 AI”入口（产品搜索框右侧“问 AI” 按钮）,CDG-支付基础平台与金融应用线-证券产品部,"CDG-支付基础平台与金融应用线-证券产品部,CDG-支付基础平台与金融应用线-支付金融平台与数据部",macxin,"amyminxu, caitlinchen, carvinli, clarachen, fengbincao, gradyhuang, hunterliang, ikunwang, jensonli, johnyfzhong, kaishi, kenjksong, kikochen, lavenderxie, lucasguoli, macxin, mandyding, moovyyang, noswang, rubenwang, sashalysu, silenchen, sophyang, stockzheng, weiqikang, westhu, yaelliu, yulinqiu, zenoscai, zheliang, arhatliu, benshwu, brookhe, daidaiwu, deniellelin, dockerliu, elanlin, hongyunge, jecklin, jorywang, leontong, lobbyluo, lucaslxu, maplelin, saintwen, sukeychao, tracehuang, wishliu, zeguslu, zhihuasu",,,,,,,,,,,否
209,数据自动化发布助手agent,https://teko.woa.com/event/ai-agent/209,,CSIG-地图平台部,,nicoyanli,"jaymoli, chengjijiao, tarshdong, xiaoyiliao, ruixuezhao",80,1、aotogen框架停止演进，整体用了较多新技术,"1，见文档：昆仑 2.0 功能设计的第5部分功能使用说明
2，前端使用了vue，后端使用了springboot，数据库使用了mysql，AI能力使用了autogen，mcp，fastapi，a2a-sdk，venus（公司内托管mcp的地方）
3，值班、转TAPD、汇总分析的这个框架，对其他业务也是有价值的",昆仑 2.0 功能设计,,,,,,体验链接,否
212,金融信贷态势洞察agent,https://teko.woa.com/event/ai-agent/212,企微群内体验，体验请联系jasonzong,"WXG-微信支付线-研发部,WXG-微信支付线-支付金融产品部",,jasonzong,"skylerlu, jasonzong, anderszhou, rocoliang, leonclwu, regiswang",,,,,,,,,,,否
215,伽利略Agent项目,https://teko.woa.com/event/ai-agent/215,https://j.woa.com/?orgId=tencent&aiAgentOpen=true,PCG-PCG技术与内容平台-应用架构平台部,,petermeng,"alanwzliang, andyning, arfuewu, cheneyhu, daomingwang, dianalin, dragonhe, edwinlan, evilluo, handongliu, huaiyizhao, jaimeyang, javanzhang, jeffjfhe, jeffjhe, jenniezong, jiyvliu, linkswei, luaruan, newtsun, nicklou, paladinhu, petermeng, phoonshen, poppylili, qiyyang, remonxiao, rjxu, ryoji, shangfeding, shawnche, taydai, toraxie, v_ccjunchen, v_xilliu, v_xuejowang, v_xxxuxu, v_yingxqin, yonglijia, zhxinhuang",,,,,,,,,,,否
219,理财通编码与测试提效Agent,https://teko.woa.com/event/ai-agent/219,,CDG-支付基础平台与金融应用线-财富管理部,CDG-支付基础平台与金融应用线-财富管理部,churongliu,"churongliu, funnyren, jasonpeng, kimsu, walkeryang, remyzhang",,,,,,,,,,体验链接,否
220,OlaSQL,https://teko.woa.com/event/ai-agent/220,,PCG-PCG技术与内容平台-大数据平台部,,lizqin,"ceschen, xinyuxyliu, boomhuo, yaweizhao",,,,,,,,,,体验链接,否
226,王者荣耀指挥官模式AI陪玩,https://teko.woa.com/event/ai-agent/226,,"IEG-天美工作室群-天美L1工作室,TEG-AI平台部",,townesyan,"rikilai, fumanzou, xinzhzhang, starkren, reaganli, reeseewang, allenxmzhu, ashinliu, bingojbwu, carlyzchen, casterwang, chadliang, chilynnxie, chunguguo, cyrilxi, danagizhong, danierdeng, davidyychen, dazelu, donyzhang, dougliu, dylanypli, eavangao, enginewang, ericjoewang, estang, francisfeng, frankfhqiu, fridazhu, georgeqiao, gorvinchen, gracesqli, granderyuan, gwanliao, haoxizhong, haskellli, honglinzhu, hongwuchen, howardyuan, huberyxu, ikechen, ivyoodai, jakixu, jigangliu, jimzhanyang, johnsmzhang, jojozhuo, jonnytan, jtzhou, kevinltzhu, leolian, leonfu, leooyliu, linhangcai, linusowang, lucianhuang, lukejguo, lunahyhuang, lunipan, macdeng, maksimwang, mikoyang, moriwang, nanamimo, nicejoeli, paimonzheng, peninahu, pentasu, qingmuliu, rycolzhang, sallensun, scorpiochen, sealqi, seevenyang, shadowping, sicilychen, simbahu, simonfang, skylerliang, staryding, stellaycwu, supeli, sysuzehuawu, vastyao, v_peijiexu, v_tatazhuo, waihinwang, winsterwei, xiangzhuang, xiaofenggao, yiweigong, yogiwu, yohunawu, yongfeiliu, ysunlin, yuchenhe, yujieren, yuntongli, zijianzhang, zimengzhou, zxyeh, heidichen",,,,,,,,,,体验链接,否
231,小O数智员工-经营管理助手,https://teko.woa.com/event/ai-agent/231,,CSIG-业务经营管理部,CSIG-云产品四部,lucazyli,,,,,,,,,,,"体验链接, 项目成员",否
240,更懂你的助手-轻量云AI助手,https://teko.woa.com/event/ai-agent/240,https://console.cloud.tencent.com/lighthouse/instance/index,CSIG-云产品一部,,ceylancao,"beginning, burnellliu, dannykong, kevinchou, pablozhong, verayqwang, yiyyli",,,,,,,,,,,否
248,AI战报,https://teko.woa.com/event/ai-agent/248,,"WXG-增值业务部,WXG-技术架构部",,reggiezhong,,,,,,,,,,,"体验链接, 项目成员",否
251,AI内容评测,https://teko.woa.com/event/ai-agent/251,,PCG-PCG技术与内容平台-工程效能平台部,PCG-在线视频BU-在线视频产品部,tritonzhang,"alphazzhang, canacezhang",,,,,,,,,,体验链接,否
253,智能API助手,https://teko.woa.com/event/ai-agent/253,,CDG-支付基础平台与金融应用线-跨境支付业务部,,zicowu,"qxingwang, stevezhuang, ayanshen, simonsmqin, nickzhuang",,,,,,,,,,体验链接,否
256,开发专家agent,https://teko.woa.com/event/ai-agent/256,,CSIG-地图产品部,,haleyfang,,,,,,,,,,,"体验链接, 项目成员",否
270,广告工程智能助理Cyber,https://teko.woa.com/event/ai-agent/270,https://versa.woa.com/strategy/cyberbot,CDG-广告营销服务线-广告工程部,,yvanwang,"biyuefan, chaseyye, dereklzhang, finchen, huyanazhang, joeyzyli, lijingwang, mikaelchen, poseidonxu, sevenzheng, xiaoheiluo, muskma",,,,,,,,,,,否
275,PLAN小助手-查询GPU,https://teko.woa.com/event/ai-agent/275,http://21.91.21.135:5000/,TEG-运营管理部,,risehuang,ramirezhang,,,,,,,,,,,否
277,运产研贴心助手—轻量云AI助手,https://teko.woa.com/event/ai-agent/277,wxwork://message?uin=33776998559279307,CSIG-云产品一部,,yuehuali,"claudechen, hakunaliu, kylexli, largezhou, laurenanyan, masonxhuang, morrisduan, xinqishang",,,,,,,,,,,否
278,卡证鉴伪智能体,https://teko.woa.com/event/ai-agent/278,https://adp.cloud.tencent.com/webim_exp/#/chat/AumYCw,CSIG-优图实验室,CSIG-优图实验室,wyitwang,"kobeschen, taipingyao, wyitwang, zhongxichen",,,,,,,,,,,否
284,领航员TAB-Navi,https://teko.woa.com/event/ai-agent/284,,PCG-PCG技术与内容平台-大数据平台部,PCG-PCG技术与内容平台-大数据平台部,ethanczheng,"jinhliu, kyanzha, ethanczheng, jielintang",,,,,,,,,,体验链接,否
287,智研服务洞察助手,https://teko.woa.com/event/ai-agent/287,,CDG-广告营销服务线-商业平台部,,nichotang,"felixwwang, gatesma",,,,,,,,,,体验链接,否
290,业务安全AI蓝军Agent,https://teko.woa.com/event/ai-agent/290,,TEG-安全平台部,,jiashihe,"ruisun, tigerhu",,,,,,,,,,体验链接,否
294,CrashSight智理,https://teko.woa.com/event/ai-agent/294,https://crashsight.qq.com/workbench/apps,IEG-品质管理部,IEG-品质管理部,hugoxu,"xingjianma, zenozheng, xiaoqingmin, wenqingwu, mikecui, iainchen, vincentwgao, dannyzhou",,,,,,,,,,,否
295,和平精英绿洲开发AI助手,https://teko.woa.com/event/ai-agent/295,,IEG-光子工作室群-S工作室,,jimmyzmwu,"elitang, lokilian, fuminglai, xiaohanhou, johnmhuang",,,,,,,,,,体验链接,否
296,SRE CLI,https://teko.woa.com/event/ai-agent/296,https://iwiki.woa.com/p/4015819348,CSIG-云技术运营服务部,,maxmzheng,"zhongsxiong, rynlli, qunithu, jordgedu, zachchen, karlcfchen, maxmzheng, quincyhu, peixinliu",,,,,,,,,,,否
299,AiSee日志分析小助手,https://teko.woa.com/event/ai-agent/299,https://aisee.woa.com/admin/p-a6ae25e3-fca6-3ad9-8b46-04148c919e1e/b-af298735-17c9-31e6-b0a6-2a05843aff16/32a2a0e053/overview?ref=agent&ref_type=rizhi,PCG-PCG技术与内容平台-工程效能平台部,,jiyuanliu,"anasiazhang, hangwinlin, jiyuanliu, jrluo, lucalai, miphazhang, rekylli",,,,,,,,,,,否
302,Lumos AI,https://teko.woa.com/event/ai-agent/302,,PCG-PCG技术与内容平台-大数据平台部,,lidanxu,,,,,,,,,,,"体验链接, 项目成员",否
304,可观测AI工作台,https://teko.woa.com/event/ai-agent/304,https://console.cloud.tencent.com/monitor/ai/explore,CSIG-云技术运营服务部,,yyingxie,"archerhan, daixuwang, joseaufeng, kevineluo, lauraytwu, lucaske, minchang, starkluo, tianjunweng, victorhuang, warpzhang, yoavwang, yongyongliu, yucolu, yyingxie",,,,,,,,,,,否
